;Sample193;Sample194;Sample195;Sample197;Sample198;Sample200;Sample201;Sample202;Sample203;Sample204;Sample205;Sample206;Sample207;Sample208;Sample209;Sample210;Sample211;Sample212;Sample213;Sample214;Sample215;Sample216;Sample217;Sample218;Sample219;Sample220;Sample221;Sample222;Sample223;Sample224;Sample225;Sample226;Sample227;Sample228;Sample229;Sample230;Sample232;Sample233;Sample234;Sample237;Sample238;Sample239;Sample240;Sample241;Sample242;Sample243;Sample244;Sample245;Sample246;Sample247;Sample248;Sample249;Sample250;Sample251;Sample252;Sample253;Sample254;Sample255;Sample256;Sample257;Sample258;Sample259;Sample260;Sample261;Sample262;Sample263;Sample264;Sample265;Sample266;Sample267;Sample268;Sample273;Sample274;Sample275;Sample276;Sample309;Sample310;Sample311;Sample312
Fusarium_sporotrichioides;0;0;0;6.267340546;0;0;0;0;0;0;0;0;0;0.5442831174;0;0.0474022647;0;0;0;1.2134728449;0;0;0;3.3261333337;0;0.0976938167;0;0;4.6446853013;0;0;0.0412499405;0;0.0781749544;0;0;0.0633092222;0.0412499405;0;7.1235486027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;10.8588428452;0;0;0;0;0;0;0
Gibberella_baccata_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.379817178;0;0;0;0;0;0;0.3091160473;4.1602559704;0;0;0;0;0;0;0.0412499405;0;0.0633092222;0;0;0;0;0;0;0;0;0.0947287773;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0;0;0;1.0208450503;0;0;0;0;0
Gibberella_fujikuroi_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.091535518;0.0412499405;0;0;0;0;0;0.0535553307;0.2447732515;0;0;0;0;1.5989091436;0;0.0412499405;0;0;0;0.7761597828;0;0;1.5989091436;0;0.0633092222;0;0;0;0;0;0.0412499405;0;0;0;0.206001449;0;0;0;0;0;0;0;0.334783435;0;0;0;0;0.0412499405;0;2.2426390332;0;2.5919610607;0;0.55199702;0;0;0
Lachnum_virgineum_1;0.0412499405;1.0208450503;0;0;0;0;1.0208450503;1.0208450503;0.1086836737;0.0412499405;0;0.0412499405;0;0;0.0412499405;0;0;0;0;0;0;0;0;0.0412499405;0.0412499405;0;0;0;0;0;0;0;1.0333231195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0.0412499405;0;0;0;0;0;0;0;0;0.0412499405;0;0.0781749544;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0
Malasseziales;0;1.0208450503;0;3.947598032;0;0;0;0;0;0;4.002630427;2.3303202837;3.0360451837;2.3977153839;1.0208450503;3.3324440796;0;0;0;0;0;2.3366128205;0;0;0;0;0;0;0;0;0.817952848;0;0;1.0582838669;0;0;0;0;0;0;0;0;0;0;0;1.0750638276;0;0;2.0104788605;0;0;0.0412499405;0;2.5919610607;0;0;0;0;0;3.3261333337;0.0412499405;0;0;0;0;0;0;0;0;0;0;2.2426390332;0;0;0.069826704;0;0;0;0
Mortierella_elongata_1;0.0412499405;0;0;0;0;0;0;0.0412499405;0;0.0412499405;1.0208450503;1.0208450503;0;0;0.0412499405;0.0474022647;0;0.6250767689;0;0;0;0;0.091535518;0;0.0412499405;0.0976938167;0.3091160473;0;0;0;0.2447732515;0;0;1.636524054;0.0412499405;0;0;0;0.8193177566;0;0.0412499405;0;0;0;0;1.0750638276;0;0;0.0412499405;0;0;0.0412499405;0.0412499405;0;0.0838321212;0.3175216796;0.206001449;0;0;0.0412499405;0.0412499405;1.0208450503;1.0582838669;2.0104788605;0.334783435;0;0;0;0;0.0412499405;0;0;0;1.0208450503;1.628021368;0.1464007425;0;0;0
Mycosphaerella_tassiana_1;1.0208450503;0;0;0;0;0;0;0.0412499405;0;6.1705101626;0;0;0;0;1.0208450503;0;0;3.1872138754;0;4.2942518321;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;4.3240330115;0;0;0.0412499405;0;0;0;0;0;0;0.0535553307;0;0;0;0;0;4.9082943849;0;0;0;3.3637945407;0;0;4.3943222096;0;0;0;0;0;0;0;3.0052536839;1.0208450503;0;0;0;0;0;0;0;0;0
Nigrospora_oryzae_1;3.1745963568;1.5989091436;0;0;0;0;3.4632553214;0.0412499405;0;0;0;0;0;0;2.0104788605;0.0474022647;0;5.7276991549;6.0199899477;0;0.0491349809;0;9.6516736246;12.1780514234;0.0412499405;0;0;5.6542622747;9.5539485954;0.0535553307;2.800004733;0.0412499405;9.5615359107;0;0;3.810360538;0;2.8133567971;6.6031231659;2.3973004529;1.0208450503;0.7761597828;0;1.6114464083;0.0412499405;0;0;0;1.0208450503;0;0;9.7296703823;1.0208450503;0;0;3.9107975108;11.2777730368;9.010352567;0;3.909696129;2.3303202837;0;0;0;0;0.6896511712;1.548803396;15.157343036;12.6087236014;2.0104788605;0;1.2514761169;0.9086715628;1.5989091436;0;5.8276301207;0;0;0
Penicillium_antarcticum_1;0;0;0;0.0781749544;1.0371110386;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.4061690604;0;0;0;0;0;0;0;0;0.0412499405;0;0.0412499405;3.2591714927;11.5345282799;0;0;0;0;0;0;0;0;1.0208450503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.334783435;0;0;0;0;0;0;0;0;0;0;0.55199702;11.3097337508;0;0
Penicillium_bialowiezense_1;0;1.5989091436;0;0;1.0371110386;1.993602193;0;2.3303202837;0;0;0;1.5989091436;0;1.5298696483;6.2100227163;2.3366128205;0;8.0184453169;6.4012681952;0.379817178;1.6069429918;2.5982596497;1.389764923;1.5989091436;0.0412499405;1.0780691003;5.6332988662;2.9873673544;0;2.0230460406;0;1.0208450503;0.0535553307;0;0;1.5989091436;2.8359530654;6.5702991316;1.8074007736;10.5525479223;2.8133567971;1.7638817013;1.3371960765;2.7195036952;2.0104788605;2.3849980467;0.0633092222;0.0535553307;2.0104788605;1.5567880755;0;0.0412499405;1.5989091436;0;0;1.5206220247;1.9872358927;0;1.5989091436;0;1.5989091436;0;0.0781749544;7.6222657268;2.1849245756;0;3.124162816;0;2.3303202837;0;0;0;0.9086715628;0;0;1.856695237;10.9508545572;0;2.0356140076
